video_id,video_title,channel_name,keyword_used,comment_id,author,comment_text,language,published_at,like_count,is_reply,parent_comment_id
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgyCRmoC_HSUJd2gQzZ4AaABAg,@KrishnaReddy-dn7pj,"కనిగిరి నియోజకవర్గంలో మద్యం అమ్మకాలు .MRP మీద 20 rs నుండి 30rs అధికంగా వసూలు చేస్తున్నారు..నాణ్యమైన మద్యం వైన్ షాపు లో దొరకడం లేదు..నాణ్యమైన మద్యం బార్ అండ్ రెస్టారెంట్ లో మాత్రమే పరిమితం చేశారు అక్కడ కూడా బాటిల్ MRP మీద 50rs నుంచి 60 rs పైగా వసూలు చేస్తున్నారు..మరియు ఇంటి నిర్మాణానికి కావాల్సిన, మైనింగ్, ఇసుక  & క్వారీలు నుండి వచ్చే ట్రాక్టర్లు, టిప్పర్ లు దగ్గర 200 rs నుండి 4000rs వరకు వసూలు చేస్తున్నారు చెక్ పోస్టు లు పెట్టి...ఇలా గతేడాది నుండి చేస్తున్నారు నేను సోషల్ మీడియా లో మరియు my TDP APP లో పోస్ట్ చేసిన చర్యలు చేపట్ట లేదు..అలాగే  నేను చేసిన పోస్టు delete చేస్తున్నారు...ఇలాగే కొనసాగితే TDP గవర్నమెంట్ భూస్తపితాము అవుతుంది అని గమనించాలి..దయచేసి తాగిన చర్యలు తీసుకోవాలని మనవి",te,2026-06-08T15:22:16Z,0,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,UgwhwYd_e5hWTW4Wnw14AaABAg,@chinnisktalli4164,తాత great day,en,2026-06-08T15:19:33Z,8,False,
lMfye4oL6mQ,ఆచంట నియోజకవర్గం సిద్ధాంతంలో తన అభిమాని సత్యనారాయణతో ముఖ్యమంత్రి శ్రీ నాారా చంద్రబాబు నాయుడు గారు,Nara Chandrababu Naidu Official,Chandrababu,Ugwj2sLLN2HKl68BYbx4AaABAg,@HemaSun-m3w,"అన్నీ అడిగే 
నువ్వు ఎన్ని అడిగిన ఇస్తారు 
అడగకున్న ఇస్తారు 
జై cbn",te,2026-06-08T14:34:56Z,12,False,
MPy_H2xZgt8,Chandrababu Naidu Becomes India’s Senior-Most CM!,Telugu Daily Updates | Job Updates,Chandrababu,UgyeqJu5TxKE1WfXDCd4AaABAg,@DDGAMERRKPM,మోసం చేయడంలో కూడా దేశంలోనే నెంబర్ వన్,te,2026-06-08T16:55:43Z,0,False,
MPy_H2xZgt8,Chandrababu Naidu Becomes India’s Senior-Most CM!,Telugu Daily Updates | Job Updates,Chandrababu,Ugw3xv_A895VBZ-Syxl4AaABAg,@pumpkin1967,మధ్యలో నాలుగు సార్లు ఓడిపోయిన ఘనత కూడా ఉంది. నితీష్ కుమార్ ఎప్పుడు అధికారంలో ఉండి ఓడిపోలేదు మహిళా మమత వరుసగా మూడు సార్లు ముఖ్యమంత్రి ఒంటి చేత్తోనే గెలిచింది,te,2026-06-08T16:32:27Z,0,False,
MPy_H2xZgt8,Chandrababu Naidu Becomes India’s Senior-Most CM!,Telugu Daily Updates | Job Updates,Chandrababu,UgxD-djoj-byTPJTBIR4AaABAg,@varalakshmi6916,For what,en,2026-06-08T15:55:40Z,0,False,
MPy_H2xZgt8,Chandrababu Naidu Becomes India’s Senior-Most CM!,Telugu Daily Updates | Job Updates,Chandrababu,UgyNjhczAHeHMuMytUZ4AaABAg,@venkateeswaraprasad6060,Next P.M. of India,en,2026-06-08T15:17:17Z,0,False,
MPy_H2xZgt8,Chandrababu Naidu Becomes India’s Senior-Most CM!,Telugu Daily Updates | Job Updates,Chandrababu,UgyosXt0tmoWk1aYXhR4AaABAg,@VenkateswaruluM-v8s,అ యితే చ ద్ర బాబు పీ కి 0ది ఎంది,te,2026-06-08T14:58:13Z,0,False,
3RLe-1h3KR8,CM Revanth Reddy Outlines Three-Corporation Strategy for Core Urban Region Development,Telangana CMO,Revanth Reddy,Ugzey3MhqFOBQUla6vF4AaABAg,@kalavakuntlagopalrao7989,"Great Congress party great CM Mr రేవంత్ రెడ్డిగారి పాలన బాగుంది అనడానికి నిదర్శనం:- రేషన్ కార్డులు ఇచ్చారు మరియు సన్న బియ్యం ఇచ్చారు, ఇందిరమ్మ ఇళ్లు ఇచ్చారు, 200 యూనిట్ లకు ఉచిత కరెంట్ ఇచ్చారు మరియు 500 లకు గ్యాస్ సిలిండర్ ఇచ్చారు, మహిళ లకు ఉచిత బస్ ప్రయాణ సౌకర్యం ఇచ్చారు మరియు ముఖ్యంగా మా రైతులకు రుణమాఫీ చేశారు హ్యాట్సాఫ్ టు సీఎం రేవంత్ రెడ్డి గారికి మరియు వ్యవసాయ శాఖ మంత్రి తుమ్మల నాగేశ్వరరావు గారికి హ్యాట్సాఫ్ 🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉",te,2026-06-08T17:04:32Z,0,False,
yqfh06Zfg3Y,My Message to CM Revanth Reddy,Chandrakanth Reddy,Revanth Reddy,UgwXVfyOiemSfdkmhdJ4AaABAg,@sowjanyagopisetty2211,Hii bro... What is your opinion on cjp,en,2026-06-08T15:48:06Z,0,False,
